40920800000,3,"WARD NO-08, AMTALI PAURASAVA",40900000000
40920900000,3,"WARD NO-09, AMTALI PAURASAVA",40900000000
41900000000,2,BAMNA,40000000000
41912300000,3,BAMNA,41900000000
41914700000,3,BUKABUNIA,41900000000
41917100000,3,DAUATALA,41900000000
41919500000,3,RAMNA,41900000000
42800000000,2,BARGUNA SADAR,40000000000
42811700000,3,AYLA PATAKATA,42800000000
42811900000,3,BADARKHALI,42800000000
42812800000,3,BARGUNA,42800000000
42813800000,3,BURIR CHAR,42800000000
42814700000,3,DHALUA,42800000000
42815700000,3,PHULJHURY,42800000000
42816600000,3,GAURICHANNA,42800000000
42817600000,3,KEORABUNIA,42800000000
42818500000,3,M.BALIATALI,42800000000
42819500000,3,NALTONA,42800000000
42820100000,3,"WARD NO-01, BARGUNA PAURASAVA",42800000000
42820200000,3,"WARD NO-02, BARGUNA PAURASAVA",42800000000
42820300000,3,"WARD NO-03, BARGUNA PAURASAVA",42800000000
42820400000,3,"WARD NO-04, BARGUNA PAURASAVA",42800000000
42820500000,3,"WARD NO-05, BARGUNA PAURASAVA",42800000000
42820600000,3,"WARD NO-06, BARGUNA PAURASAVA",42800000000
42820700000,3,"WARD NO-07, BARGUNA PAURASAVA",42800000000
42820800000,3,"WARD NO-08, BARGUNA PAURASAVA",42800000000
42820900000,3,"WARD NO-09, BARGUNA PAURASAVA",42800000000
44700000000,2,BETAGI,40000000000
44711100000,3,BETAGI,44700000000
44712300000,3,BIBICHINI,44700000000
44713500000,3,BURA MAZUMDAR,44700000000
44714700000,3,HOSNABAD,44700000000
44715900000,3,KAZIRABAD,44700000000
44717100000,3,MOKAMIA,44700000000
44718300000,3,SARISHAMURI,44700000000
44720100000,3,"WARD NO-01, BETAGI PAURASAVA",44700000000
44720200000,3,"WARD NO-02, BETAGI PAURASAVA",44700000000
44720300000,3,"WARD NO-03, BETAGI PAURASAVA",44700000000
44720400000,3,"WARD NO-04, BETAGI PAURASAVA",44700000000
44720500000,3,"WARD NO-05, BETAGI PAURASAVA",44700000000
44720600000,3,"WARD NO-06, BETAGI PAURASAVA",44700000000
44720700000,3,"WARD NO-07, BETAGI PAURASAVA",44700000000
